title,job_type,location
Strategic Information Associate – Data Analysis,Full Time,Osun
Strategic Information Associate – Data Analysis,,
Data Engineer,Full Time,Abuja
Gender Data Assistant,Full Time,Lagos
Data Analyst,Full Time,Port Harcourt & Rivers State
"Senior Data Analyst (Credit Risk, Bank)",Full Time,Lagos
Warehouse Data Entry Officer,Full Time,
Data Centre Technician,Full Time,
"Team Lead, Data Analytics",Full Time,
Business Development Manager (Data Centers),Full Time,
Laser Scan Data Process Engineer,Full Time,
Data Analyst,Full Time,
"Data Officer, Programme Evaluation and Assessment, Research and Learning (PEARL) Unit",Full Time,
Data Base Administrator,Full Time,Port Harcourt & Rivers State
Data Analyst & Business Intelligence Specialist,Full Time,Lagos
Digital Delivery and Data Analysis,Full Time,Lagos
Data Infrastructure Engineer,Full Time,Lagos
Data Architect - Azure,Full Time Remote,Lagos
Lead Data Centre,Full Time,Lagos
"Business Performance/Data Analyst, Offline",Full Time,Lagos
Warehouse Operations / Data Analytics Officer,Full Time,Rivers
Data Analyst,Full Time,Lagos
Lecturer II - Data Science,Full Time,Abuja
Lecturer I - Data Science,Full Time,Lagos
In-Country Lead Consultant / Data Collector,Full Time,Abuja
Data Analyst Intern,Full Time,Lagos
Master Data Manager,Full Time,Lagos
"Unit Head, Enterprise Analytics (Finance / Data Analytics / Management) – Nigeria",Full Time,Lagos
"Unit Head, Data Monetization (Data Management / Transformational Analytics / Strategy)",Full Time,Lagos
"Unit Head, Data Architecture & Engineering (Finance / Data Management / Analytics)",Full Time,Lagos
Senior Business Data Analyst,Full Time,Lagos
Data Analyst - Growth,Full Time,Lagos
Data and Documentation Officer,Full Time,Niger
Data Analyst,Full Time Remote,
Junior Data/Ecommerce Analyst,Contract,Lagos
Data Analyst Tutor,Full Time,Lagos
Senior Data Analyst,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Technical Data Analyst,Full Time,Lagos
Manager -Business Analytics Data Governance,Full Time,Lagos
Analyst - Data Governance,Full Time,Lagos
Data Analyst Intern,Full Time,Lagos
ETL Developer / Data Engineer,Full Time,Lagos
Data Scientist,Full Time,
Data Analyst and Executive Assistant,Full Time,Oyo
"Senior Data Architect, Data Warehouse & MPP",Full Time,Lagos
"Senior Data Architect, Data Lake",Full Time,Lagos
Data Management Associate,Full Time,Lagos
Data Entry Operator,Full Time,Plateau
Computer / Data Processing Teacher,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst (Mid-Level),Full Time,
Data Protection Officer,Full Time,Abuja
Data Science Services (DBA) Level 1,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Data Scientist,Full Time,Abuja
Data Administrator,Contract,Lagos
"Strategic Account Manager, Colo /Cloud / Data Centers",Full Time,Lagos
Computer Studies / Data Processing Teacher,Full Time,Lagos
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,
Data Engineer,Full Time,Lagos
Data Collector,Full Time,Edo
Data Entry Officer,Full Time,Lagos
Senior Data / GIS Analyst,Full Time,Borno
Data Analyst (Entry Level),Full Time,Lagos
"Team Lead, Data Centre Operations (Infrastructure)",Full Time,Lagos
Public Health Specialist (Data Analysis & Visualization),Full Time,Abuja
"Head, Solution & Data",Full Time,Delta
Claims Data & Reimbursement Officer,Full Time,Lagos
"Team Lead, Data Science",Full Time,
Data Centre Power Systems Technician,Full Time,Lagos
Data / GIS Consultant (PSPA),Full Time,Abia
Data Management Officer,Full Time,Abuja
ERP Data Entry Officer,Full Time,Lagos
Data Entry Personnel - Ota,Full Time,Ogun
Data Analytics & Insights Officer,Full Time,Lagos
Data Warehouse Developer,Full Time,Lagos
Data Entry Personnel,Full Time,Lagos
Head of Data and Research Methods Unit,Full Time,Lagos
Data Collector (Enumerator),Full Time,
Manager - Campaign Management (Data Devices FBB MoMo and Digital),Full Time,Lagos
Data Entry Officer,Contract,Lagos
Senior Data Engineer,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Researcher and Automation Expert,Full Time,Oyo
Research & Data Analyst,Full Time,Lagos
Senior Azure Data Engineer ,Full Time,Rivers
Senior Data Scientist,Full Time,Lagos
Data Centre Mechanical Technical Supervisor,Full Time,Lagos
Data Centre Electrical Technical Supervisor,Full Time,
Data Developer (SQL & DBA),Full Time,Lagos
Data Engineer,Full Time,Lagos
Sports Data Analyst,Full Time,Lagos
Data Center Facility Manager,Full Time,Lagos
Data Entry & Publicity Assistant,Full Time,Lagos
"Machine Learning, Data Coordinator",Full Time,"Abuja , Kano"
Data Centre Service Delivery Manager,Full Time,Lagos
Senior Data & Reporting Specialist,Full Time,Lagos
